Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,status.status,status.service,latitude,longitude,altitude,position_covariance_0,position_covariance_1,position_covariance_2,position_covariance_3,position_covariance_4,position_covariance_5,position_covariance_6,position_covariance_7,position_covariance_8,position_covariance_type,easting,northing,translation_easting,translation_northing,rotation_angle_degrees,transformed_easting,transformed_northing,error
1709121594.9664009,1200,1709121594,965687168,,2,0,63.2396663876814,9.501873265833405,377.2439235148071,54.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0,224043.75031122545,7024127.734867669,-0.012831668456783518,0.01618910301476717,1.0876925671254867e-07,224043.73697675025,7024127.735292989,0.013341256535610977
1709121595.0718691,1201,1709121595,71240317,,2,0,63.239667293341085,9.50187300379162,377.24269639221313,51.0,0.0,0.0,0.0,115.0,0.0,0.0,0.0,0.0,0,224043.74583225587,7024127.836628539,-0.004478969582123682,0.10176086984574795,6.294683885244012e-08,224043.7381153413,7024127.83687468,0.007720839079358837
1709121595.165676,1202,1709121595,164201768,,2,0,63.23966874157739,9.501875225108789,377.2421816504561,51.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0,224043.87094876776,7024127.987984912,0.1251165118883364,0.15135637298226357,-9.801979672374728e-07,224043.99111531203,7024127.984152041,0.12022765595964867
1709121595.2723775,1203,1709121595,271694788,,2,0,63.23966819684814,9.501874628012375,377.243173968856,51.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0,224043.8358326453,7024127.930028233,-0.03511612245347351,-0.05795667879283428,2.710871740418952e-07,224043.8025989408,7024127.931088266,0.033250605798253126
1709121595.3658855,1204,1709121595,364770897,,2,0,63.23966790995584,9.501875397956091,377.2322908693319,51.0,0.0,0.0,0.0,114.0,0.0,0.0,0.0,0.0,0,224043.87166624883,7024127.894834866,0.03583360352786258,-0.035193366929888725,-3.011446949585661e-07,224043.9085848296,7024127.893657299,0.03693735602163818
1709121595.466016,1205,1709121595,465046870,,2,0,63.2396679596265,9.501874150997343,377.2355518019352,53.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0,224043.80966918555,7024127.905723262,-0.06199706328334287,0.010888395830988884,5.080258347334166e-07,224043.74738818567,7024127.907709797,0.06231267341226927
1709121595.5731146,1206,1709121595,572505074,,2,0,63.23966902177716,9.50187368164559,377.242618465693,57.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0,224043.7962986803,7024128.025765304,-0.013370505243074149,0.12004204280674458,1.4015287774782337e-07,224043.7791167561,7024128.026313345,0.017190662216073443
1709121595.6720238,1207,1709121595,671503553,,2,0,63.23966884359957,9.501872786832411,377.2446105959735,49.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0,224043.74976781325,7024128.009820008,-0.046530867053661495,-0.015945296734571457,3.7502192640204157e-07,224043.70379231477,7024128.011286457,0.04599887970248199
1709121595.774771,1208,1709121595,774226574,,2,0,63.23966938456599,9.50187320145382,377.2394386679101,52.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0,224043.7757061824,7024128.068144295,0.025938369159121066,0.05832428764551878,-1.9620483726612292e-07,224043.7997597498,7024128.067377076,0.024065800006486983
1709121595.8702056,1209,1709121595,869445183,,2,0,63.23966951634908,9.501872055823926,377.24126167951897,56.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0,224043.7195697747,7024128.087720324,-0.05613640771480277,0.019576028920710087,4.625271117220109e-07,224043.66286665108,7024128.089528944,0.05673196042809487
1709121595.9755332,1210,1709121595,974278383,,2,0,63.23966716994198,9.501872888166384,377.23685083254026,56.0,0.0,0.0,0.0,127.0,0.0,0.0,0.0,0.0,0,224043.73886107985,7024127.823414887,0.019291305157821625,-0.26430543698370457,-2.2589571813114162e-07,224043.76655457617,7024127.822531567,0.02770758006717933
1709121596.073135,1211,1709121596,72740470,,2,0,63.23966889314769,9.501871228108945,377.2393387568744,52.0,0.0,0.0,0.0,118.0,0.0,0.0,0.0,0.0,0,224043.67215047387,7024128.022037207,-0.0667106059845537,0.19862231984734535,5.952296930900047e-07,224043.59917879108,7024128.024364734,0.07300879310763055
1709121596.1682525,1212,1709121596,167195481,,2,0,63.23967315621329,9.501872316476184,377.2405585486408,53.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,0,224043.7673889856,7024128.4910422135,0.09523851174162701,0.46900500636547804,-6.541697530337842e-07,224043.84758637764,7024128.488484213,0.08023817703958472
